I,A,B,trace,determinant,string_of_classification,stable
0.5099999904632568,0.025299999862909317,0.9855999946594238,-3.1158030033111572,2.424879312515259,stable node sink,True
0.5199999809265137,0.02590000070631504,0.9855999946594238,-3.0972988605499268,2.3970513343811035,stable node sink,True
0.5299999713897705,0.026599999517202377,0.9855999946594238,-3.075960636138916,2.3649470806121826,stable node sink,True
0.5400000214576721,0.0272000003606081,0.9855999946594238,-3.0580148696899414,2.337935447692871,stable spiral node sink,True
0.550000011920929,0.027899999171495438,0.9855999946594238,-3.0373153686523438,2.306764602661133,stable spiral node sink,True
0.5600000023841858,0.028599999845027924,0.9855999946594238,-3.0169496536254883,2.2760818004608154,stable spiral node sink,True
0.5699999928474426,0.02930000051856041,0.9855999946594238,-2.99691104888916,2.245877265930176,stable spiral node sink,True
0.5799999833106995,0.029999999329447746,0.9855999946594238,-2.9771933555603027,2.216141939163208,stable spiral node sink,True
0.59,0.030700000002980232,0.9855999946594238,-2.957789897918701,2.18686580657959,stable node sink,True
0.6000000238418579,0.03139999881386757,0.9855999946594238,-2.938694953918457,2.158040761947632,stable node sink,True
0.6100000143051147,0.032099999487400055,0.9855999946594238,-2.9199018478393555,2.1296567916870117,stable node sink,True
0.6200000047683716,0.03290000185370445,0.9855999946594238,-2.8987174034118652,2.097644567489624,stable node sink,True
0.6299999952316284,0.03359999880194664,0.9855999946594238,-2.880551815032959,2.070178747177124,stable node sink,True
0.6299999952316284,0.03359999880194664,0.9857000112533569,-2.881622314453125,2.071669578552246,stable node sink,True
0.6399999856948853,0.03440000116825104,0.9857000112533569,-2.861138343811035,2.040663003921509,stable node sink,True
0.6499999761581421,0.03519999980926514,0.9857000112533569,-2.8410165309906006,2.0101869106292725,stable node sink,True
0.6600000262260437,0.03590000048279762,0.9857000112533569,-2.823760986328125,1.9840372800827026,stable node sink,True
0.6700000166893005,0.03669999912381172,0.9857000112533569,-2.8042984008789062,1.9545260667800903,stable node sink,True
0.6800000071525574,0.03750000149011612,0.9857000112533569,-2.7851760387420654,1.925513505935669,stable node sink,True
0.6899999976158142,0.03840000182390213,0.9857000112533569,-2.7639999389648438,1.8933641910552979,stable node sink,True
0.699999988079071,0.03920000046491623,0.9857000112533569,-2.7455766201019287,1.8653751611709595,stable node sink,True
0.7099999785423279,0.03999999910593033,0.9857000112533569,-2.727470874786377,1.8378517627716064,stable node sink,True
0.7200000286102295,0.04089999943971634,0.9857000112533569,-2.7074134349823,1.8073409795761108,stable node sink,True
0.7300000190734863,0.04179999977350235,0.9857000112533569,-2.6877405643463135,1.7773936986923218,stable node sink,True
0.7400000095367432,0.04259999841451645,0.9857000112533569,-2.6706223487854004,1.7513172626495361,stable node sink,True
0.75,0.04349999874830246,0.9857000112533569,-2.651651620864868,1.7223988771438599,stable node sink,True
