Removing conda
Loading conda
I: 0.0, A: 0.0, B: 0.0, trace: 1.1503527164459229, determinant: 0.32798251509666443, classification: unstable node source, stable: False
I: 0.7400000095367432, A: 0.04259999841451645, B: 0.9857000112533569, trace: -2.6706223487854004, determinant: 1.7513172626495361, classification: stable node sink, stable: True
I: 0.75, A: 0.04349999874830246, B: 0.9857000112533569, trace: -2.651651620864868, determinant: 1.7223988771438599, classification: stable node sink, stable: True
I: 0.7599999904632568, A: 0.04439999908208847, B: 0.9857000112533569, trace: -2.633039951324463, determinant: 1.6940070390701294, classification: stable node sink, stable: True
I: 0.7699999809265137, A: 0.04540000110864639, B: 0.9857000112533569, trace: -2.6127171516418457, determinant: 1.6629809141159058, classification: stable node sink, stable: True
I: 0.7799999713897705, A: 0.046300001442432404, B: 0.9857000112533569, trace: -2.5948362350463867, determinant: 1.6356602907180786, classification: stable node sink, stable: True
I: 0.7900000214576721, A: 0.04729999974370003, B: 0.9857000112533569, trace: -2.5753064155578613, determinant: 1.6057971715927124, classification: stable node sink, stable: True
I: 0.800000011920929, A: 0.04830000177025795, B: 0.9857000112533569, trace: -2.5561776161193848, determinant: 1.5765222311019897, classification: stable node sink, stable: True
I: 0.81, A: 0.049300000071525574, B: 0.9857000112533569, trace: -2.5374412536621094, determinant: 1.5478225946426392, classification: stable node sink, stable: True
I: 0.8199999928474426, A: 0.0502999983727932, B: 0.9857000112533569, trace: -2.519087314605713, determinant: 1.519683837890625, classification: stable node sink, stable: True
I: 0.8299999833106995, A: 0.05130000039935112, B: 0.9857000112533569, trace: -2.501105546951294, determinant: 1.4920918941497803, classification: stable node sink, stable: True
I: 0.8399999737739563, A: 0.052400000393390656, B: 0.9857000112533569, trace: -2.481696367263794, determinant: 1.4622818231582642, classification: stable node sink, stable: True
I: 0.8500000238418579, A: 0.05339999869465828, B: 0.9857000112533569, trace: -2.4644672870635986, determinant: 1.4357942342758179, classification: stable node sink, stable: True
I: 0.8600000143051147, A: 0.054499998688697815, B: 0.98580002784729, trace: -2.446892499923706, determinant: 1.408202052116394, classification: stable node sink, stable: True
I: 0.8700000047683716, A: 0.05559999868273735, B: 0.98580002784729, trace: -2.4286949634552, determinant: 1.3801543712615967, classification: stable node sink, stable: True
I: 0.8799999952316284, A: 0.0568000003695488, B: 0.98580002784729, trace: -2.409249782562256, determinant: 1.350151777267456, classification: stable node sink, stable: True
I: 0.8799999952316284, A: 0.5015000104904175, B: 0.9876999855041504, trace: -1.7313225269317627, determinant: -0.07017474621534348, classification: unstable saddle node, stable: False
I: 0.8799999952316284, A: 0.5570999979972839, B: 0.9879000186920166, trace: -1.845179557800293, determinant: 0.07816504687070847, classification: stable node sink, stable: True
I: 0.8799999952316284, A: 0.5016000270843506, B: 0.9876999855041504, trace: -1.7315034866333008, determinant: -0.06994848698377609, classification: unstable saddle node, stable: False
I: 0.8899999856948853, A: 0.057999998331069946, B: 0.98580002784729, trace: -2.390261650085449, determinant: 1.3208212852478027, classification: stable node sink, stable: True
I: 0.8899999856948853, A: 0.4864000082015991, B: 0.9876000285148621, trace: -1.704691767692566, determinant: -0.10121610760688782, classification: unstable saddle node, stable: False
